User_ID,Age,Household_Size,Monthly_Income,Monthly_Spend,Preferred_Channel,Brand_Importance_Rating,Price_Importance_Rating,Price_Hike_Reaction,Primary_Influence,Loyalty_Score
00001,56,3,52500,9497,Supermarkets,3,2,Continue buying the same brand,Social Media Ads,0.58
00002,69,4,50500,7751,Local Kirana/Mom-and-pop Stores,2,4,Switch to a cheaper brand,Social Media Ads,0.4
00003,46,2,30500,3602,E-commerce/Apps,3,4,Switch to a cheaper brand,TV Commercials,0.45
00004,32,2,51500,7967,Supermarkets,2,4,Switch to a cheaper brand,In-store Displays,0.35
00005,60,3,24000,4533,E-commerce/Apps,1,5,Switch to a cheaper brand,Doctor Recommendation,0.13
00006,25,2,30000,5643,Supermarkets,3,5,Switch to a cheaper brand,Word of Mouth,0.42
00007,38,3,44500,7271,Supermarkets,3,3,Look for discounts/offers,Word of Mouth,0.51
00008,56,5,60500,8308,Local Kirana/Mom-and-pop Stores,4,3,Look for discounts/offers,Word of Mouth,0.7
00009,36,2,29500,4963,E-commerce/Apps,1,5,Switch to a cheaper brand,TV Commercials,0
00010,40,4,26500,3764,E-commerce/Apps,1,5,Switch to a cheaper brand,Doctor Recommendation,0
00011,28,2,59000,9466,E-commerce/Apps,3,2,Continue buying the same brand,Word of Mouth,0.51
00012,28,4,49000,7462,Supermarkets,4,4,Switch to a cheaper brand,TV Commercials,0.65
00013,41,2,39000,6585,Supermarkets,4,2,Continue buying the same brand,Doctor Recommendation,0.64
00014,70,1,65500,9505,Supermarkets,2,4,Switch to a cheaper brand,TV Commercials,0.4
00015,53,5,96000,13966,Supermarkets,5,3,Look for discounts/offers,Social Media Ads,0.81
00016,57,2,43500,5567,Local Kirana/Mom-and-pop Stores,2,2,Continue buying the same brand,Doctor Recommendation,0.4
00017,41,4,27000,2497,E-commerce/Apps,2,5,Switch to a cheaper brand,Social Media Ads,0.21
00018,20,4,46500,6728,Supermarkets,4,2,Continue buying the same brand,Word of Mouth,0.72
00019,39,5,24000,3043,Supermarkets,1,4,Switch to a cheaper brand,Social Media Ads,0.08
00020,70,1,67500,11767,Supermarkets,2,2,Continue buying the same brand,Doctor Recommendation,0.39
